air1_iata,air1_lat,air1_lng,air2_iata,air2_lat,air2_lng,route,twc
IXL,34.13583333,77.54638889,DEL,28.56861111,77.11222222,nan,20851
IXM,9.83361111,78.08944444,MAA,12.98222222,80.16361111,nan,20356
IXM,9.83361111,78.08944444,BLR,13.20694444,77.70416667,nan,6464
IXM,9.83361111,78.08944444,HYD,17.24,78.43,nan,812
IXE,12.96138889,74.89,HYD,17.24,78.43,nan,6408
IXE,12.96138889,74.89,BLR,13.20694444,77.70416667,nan,19464
IXE,12.96138889,74.89,BOM,19.08861111,72.86805556,nan,17518
IXE,12.96138889,74.89,MAA,12.98222222,80.16361111,nan,3752
BOM,19.08861111,72.86805556,AMD,23.07722222,72.63472222,nan,49475
BOM,19.08861111,72.86805556,DEL,28.56861111,77.11222222,nan,157214
BOM,19.08861111,72.86805556,BLR,13.20694444,77.70416667,nan,83822
BOM,19.08861111,72.86805556,PAT,25.59361111,85.09194444,nan,5736
BOM,19.08861111,72.86805556,HYD,17.24,78.43,nan,49581
BOM,19.08861111,72.86805556,GOI,15.38083333,73.83138889,nan,48112
BOM,19.08861111,72.86805556,MAA,12.98222222,80.16361111,nan,48044
BOM,19.08861111,72.86805556,VNS,25.45222222,82.85944444,nan,9662
BOM,19.08861111,72.86805556,STV,21.11765833,72.74525833,nan,1232
BOM,19.08861111,72.86805556,IXE,12.96138889,74.89,nan,18722
BOM,19.08861111,72.86805556,PBD,21.64870071,69.65720367,RCS,812
BOM,19.08861111,72.86805556,COK,10.155,76.391,nan,30840
BOM,19.08861111,72.86805556,ATQ,31.70777778,74.79916667,nan,10828
BOM,19.08861111,72.86805556,CCU,22.65472222,88.44666667,nan,45332
BOM,19.08861111,72.86805556,IXB,26.68111111,88.32861111,nan,4816
BOM,19.08861111,72.86805556,IXY,23.11269951,70.10030365,RCS,812
BOM,19.08861111,72.86805556,IXG,15.85916667,74.6175,nan,812
BOM,19.08861111,72.86805556,JLR,23.18472222,80.05875,nan,812
PAT,25.59361111,85.09194444,BOM,19.08861111,72.86805556,nan,4532
PAT,25.59361111,85.09194444,CCU,22.65472222,88.44666667,nan,15113
PAT,25.59361111,85.09194444,HYD,17.24,78.43,nan,9338
